,term,frequency,overall,rank
824,permission medieval,1,93,8.52580420076824
11,admission permission,30,93,6.96672095638237
830,personal collection,1,93,3.052254394514166
789,observational experimental,1,93,2.9842195953375414
325,department normally,7,93,2.876610213531067
327,department senior,3,93,2.5959765808160986
825,permission museum,1,93,2.3329587704255017
1097,sql learn,2,93,2.0151914113066978
1044,senior four,1,93,1.7793972958875248
885,programming intensive,1,93,1.764322977458479
